FoodID,NutrientID,NutrientValue
114,203,3.37
114,204,0.08
114,205,4.96
114,208,34.0
114,291,0.0
563,203,27.3
563,204,13.6
563,205,0.0
563,208,239.0
563,291,0.0
1696,203,0.26
1696,204,0.17
1696,205,13.81
1696,208,52.0
1696,291,1.9
2213,203,2.86
2213,204,0.39
2213,205,3.63
2213,208,23.0
2213,291,2.2
2374,203,2.82
2374,204,0.37
2374,205,6.64
2374,208,34.0
2374,291,2.4
2534,203,21.15
2534,204,49.93
2534,205,21.55
2534,208,579.0
2534,291,12.5
3156,203,25.44
3156,204,8.13
3156,205,0.0
3156,208,182.0
3156,291,0.0
4067,203,10.7
4067,204,3.03
4067,205,45.64
4067,208,257.0
4067,291,6.3
4497,203,2.58
4497,204,0.9
4497,205,22.96
4497,208,111.0
4497,291,1.5
5917,203,4.4
5917,204,1.92
5917,205,21.3
5917,208,120.0
5917,291,2.8
